companyId:ID(Company),name
746,MCRAE BROTHERS
747,PLUMBING AND ENGINEERING SUPPLY
748,UPTON
749,A E REA AND COMPANY OTTAWA
750,LIBRARY BUREAU OF CANADA
751,NATIONAL DRUG AND CHEMICAL COMPANY OF CANADA
752,J A SIMMERS
753,MCCORMICK MANUFACTURING
754,JOHN LABATT
755,LE SYNDICAT DES TOURISTES
756,CAMPBELLTON AND GASPE STEAMSHIP
757,CARSWELL
758,B AND A ASBESTOS
759,CAMERON LUMBER
760,VICTORIA BOARD OF TRADE
761,E G PRIOR AND COMPANY
762,ALMOND'S ICE CREAM
763,TRURO BOARD OF TRADE
764,HUGH C MACLEAN
