"story_title","story_date_published","story_url","search_term_used"
"HOLLAND&apos;S BROAD -HINT. I","1916-07-20","http://newspapers.library.wales/view/4101884/4101885/21/","German+Submarine"
"IS FULL SWIMI","1916-03-15","http://newspapers.library.wales/view/4101196/4101199/54/","German+Submarine"
"MORE SHIPS SJNK. I","1916-08-08","http://newspapers.library.wales/view/4101992/4101993/20/","German+Submarine"
"SINKING OF KATWYK. I","1915-04-17","http://newspapers.library.wales/view/4099008/4099009/18/","German+Submarine"
"PIRATE BLOWN UP ?I","1915-06-28","http://newspapers.library.wales/view/4099505/4099506/28/","German+Submarine"
".SALVING THE CMFUGHTI","1915-05-12","http://newspapers.library.wales/view/4099183/4099188/90/","German+Submarine"
"[No title]","1915-05-15","http://newspapers.library.wales/view/4099210/4099215/85/","German+Submarine"
"SINKING OF DUTCH SHIPS. I","1917-08-16","http://newspapers.library.wales/view/4103878/4103879/25/","German+Submarine"
"CHANNEL TRADER SUNK. !","1916-08-11","http://newspapers.library.wales/view/4102009/4102010/8/","German+Submarine"
"SUBMARINE WARFARE.","1916-11-18","http://newspapers.library.wales/view/4115384/4115385/27/","German+Submarine"
"GEF IAN PIRATE THROWS SHELLS ON WHITEHAVEN.","1915-08-21","http://newspapers.library.wales/view/4114794/4114798/69/","German+Submarine"
"COPENHAGEN, Wednesday.","1917-09-22","http://newspapers.library.wales/view/4115706/4115707/10/","German+Submarine"
"U-BOAT ^CANAR D. I U-BOAT CANARD.","1917-04-07","http://newspapers.library.wales/view/4115538/4115539/19/","German+Submarine"
"MORE STEAMERS SIM 1","1915-11-20","http://newspapers.library.wales/view/4114945/4114950/112/","German+Submarine"
"!Notorious Traitor Captured","1916-04-29","http://newspapers.library.wales/view/3611990/3611995/52/","German+Submarine"
"VICTIM OF SUBMARINE.","1915-07-03","http://newspapers.library.wales/view/3611634/3611636/34/","German+Submarine"
"MIDSHIPMAN KIDSTON.","1914-10-22","http://newspapers.library.wales/view/3857395/3857399/67/","German+Submarine"
"-&apos;_-----_.-_-__-----__7-LUSITAMA TORPEDOED.","1915-05-13","http://newspapers.library.wales/view/3857632/3857639/98/","German+Submarine"
"BREAD ANI) U-BOATS.I","1918-06-01","http://newspapers.library.wales/view/3979422/3979429/86/","German+Submarine"
"CHANNEL LIGHTS TO BE PUT OUT.","1914-12-09","http://newspapers.library.wales/view/4118392/4118396/41/","German+Submarine"
"U BOATS IN NORTH SEA. I","1915-05-19","http://newspapers.library.wales/view/4118507/4118511/48/","German+Submarine"
"ARMED U.S.A. LINER ARRIVES","1917-03-31","http://newspapers.library.wales/view/3978883/3978884/18/","German+Submarine"
"I U BOAT OFF EAST COAST.-I","1916-07-21","http://newspapers.library.wales/view/4121830/4121833/34/","German+Submarine"
"GERMAN CLAIM DENIED. I","1916-11-10","http://newspapers.library.wales/view/4121974/4121980/91/","German+Submarine"
"ICORK STEAMER JORPEDOED.-I","1918-06-14","http://newspapers.library.wales/view/4124678/4124685/102/","German+Submarine"
"[No title]","1915-06-25","http://newspapers.library.wales/view/3886154/3886160/81/","German+Submarine"
"SINKING OF A CONNAH&apos;S QUAY VESSEL.","1915-05-13","http://newspapers.library.wales/view/3755401/3755405/32/","German+Submarine"
"I CARNARVON CAPTAIN TAKENI PRISONER.","1917-04-13","http://newspapers.library.wales/view/4243827/4243834/127/","German+Submarine"
"[No title]","1916-05-12","http://newspapers.library.wales/view/4121740/4121747/97/","German+Submarine"
"On Board the &quote;Birmingham.&quote;","1914-08-22","http://newspapers.library.wales/view/3579302/3579305/39/","German+Submarine"
"I SINKING OF U29.i ——<α-","1915-06-25","http://newspapers.library.wales/view/4121326/4121332/67/","German+Submarine"
"- - - -&quote; RAG&quote; OF 50 SHIPS.","1916-06-22","http://newspapers.library.wales/view/4101718/4101719/16/","German+Submarine"
"——4&apos;—— GERMAN SUBMARINE SMASHED IN TWO I","1915-12-03","http://newspapers.library.wales/view/4121533/4121539/74/","German+Submarine"
"BRAVO, THORDIS I  ———-0———„","1915-03-19","http://newspapers.library.wales/view/4098798/4098801/65/","German+Submarine"
"SUNKEN TRAWLERS.","1917-07-31","http://newspapers.library.wales/view/4103808/4103811/81/","German+Submarine"
".LAURENTIC SUNK. J","1917-02-03","http://newspapers.library.wales/view/4110347/4110350/74/","German+Submarine"
"CREW OF S.S. WESTMINSTER SHELLED IN BOATS.","1917-01-05","http://newspapers.library.wales/view/4122046/4122049/38/","German+Submarine"
"ADMIRALTY AWARDS SKILfUL CAPTAIN.","1915-07-02","http://newspapers.library.wales/view/4121335/4121337/7/","German+Submarine"
"-if, - MOSTYN MAN ON THE ARABIC.","1915-09-02","http://newspapers.library.wales/view/3755545/3755548/27/","German+Submarine"
"IN THE IRISH SEA.I","1915-08-21","http://newspapers.library.wales/view/4092530/4092535/73/","German+Submarine"
"TORPEDOED.®i ———.———","1915-02-13","http://newspapers.library.wales/view/4092305/4092311/93/","German+Submarine"
"SINKING OF PIRATE 11 CRAFT.I","1915-06-26","http://newspapers.library.wales/view/4092458/4092466/141/","German+Submarine"
"—1 i STTBM A RINE GONE.&quote; |","1915-07-03","http://newspapers.library.wales/view/4092467/4092470/39/","German+Submarine"
"FIRST DANISH VICTIM.","1915-05-07","http://newspapers.library.wales/view/4099149/4099150/5/","German+Submarine"
"U BOAT&apos;S -EXPOiTS. I","1917-01-09","http://newspapers.library.wales/view/4102881/4102882/13/","German+Submarine"
"THE PIRATES DEFIED. I","1916-06-15","http://newspapers.library.wales/view/4101682/4101683/36/","German+Submarine"
"RESPECTED DUTCH FLAG. ;","1915-03-03","http://newspapers.library.wales/view/4098678/4098679/20/","German+Submarine"
"j:250,000 WORTH OF PEARLS. I","1917-01-13","http://newspapers.library.wales/view/4102907/4102908/13/","German+Submarine"
