comunidad_autonoma,provincia,poblacion,lat,lng
Andalucía,Granada,Purullena,37.31759,-3.190274
Andalucía,Granada,Quéntar,37.19201,-3.468192
Andalucía,Granada,Rubite,36.80884,-3.348044
Andalucía,Granada,Salar,37.14882,-4.067732
Andalucía,Granada,Salobreña,36.74626,-3.587108
Andalucía,Granada,Santa Cruz del Comercio,37.06024,-3.976717
Andalucía,Granada,Santa Fe,37.18936,-3.719076
Andalucía,Granada,Soportújar,36.92839,-3.405133
Andalucía,Granada,Sorvilán,36.79442,-3.267524
Andalucía,Granada,Taha (La),36.93333,-3.316667
Andalucía,Granada,Torre-Cardela,37.50457,-3.356015
Andalucía,Granada,Torvizcón,36.87788,-3.298552
Andalucía,Granada,Trevélez,37.00245,-3.266871
Andalucía,Granada,Turón,36.86357,-3.057771
Andalucía,Granada,Ugíjar,36.96075,-3.054754
Andalucía,Granada,Valle (El),37.28611,-3.008889
Andalucía,Granada,Valle del Zalabí,37.28611,-3.008889
Andalucía,Granada,Válor,36.99589,-3.083123
Andalucía,Granada,Vegas del Genil,37.16667,-3.7
Andalucía,Granada,Vélez de Benaudalla,36.83195,-3.516209
Andalucía,Granada,Ventas de Huelma,37.06853,-3.822133
Andalucía,Granada,Villamena,36.99035,-3.588935
Andalucía,Granada,Villanueva de las Torres,37.55663,-3.090193
Andalucía,Granada,Villanueva Mesía,37.2142,-4.011248
Andalucía,Granada,Víznar,37.23108,-3.553835
Andalucía,Granada,Zafarraya,36.97551,-4.144421
Andalucía,Granada,Zagra,37.25303,-4.168132
Andalucía,Granada,Zubia (La),37.12061,-3.584668
Andalucía,Granada,Zújar,37.54015,-2.842817
Andalucía,Huelva,Alájar,37.87439,-6.666078
Andalucía,Huelva,Aljaraque,37.27111,-7.021585
Andalucía,Huelva,Almendro (El),37.50693,-7.270019
Andalucía,Huelva,Almonaster la Real,37.87181,-6.787901
Andalucía,Huelva,Almonte,37.26254,-6.51724
Andalucía,Huelva,Alosno,37.54936,-7.115428
Andalucía,Huelva,Aracena,37.89417,-6.561207
Andalucía,Huelva,Aroche,37.94426,-6.954265
Andalucía,Huelva,Arroyomolinos de León,38.02604,-6.421104
Andalucía,Huelva,Ayamonte,37.21466,-7.409819
Andalucía,Huelva,Beas,37.42592,-6.792988
Andalucía,Huelva,Berrocal,38,-6.883333
Andalucía,Huelva,Bollullos Par del Condado,37.33615,-6.535758
Andalucía,Huelva,Bonares,37.3219,-6.680697
Andalucía,Huelva,Cabezas Rubias,37.7265,-7.087451
Andalucía,Huelva,Cala,37.97217,-6.31649
Andalucía,Huelva,Calañas,37.65482,-6.878683
Andalucía,Huelva,Campillo (El),37.69332,-6.630814
Andalucía,Huelva,Campofrío,37.76776,-6.573099
Andalucía,Huelva,Cañaveral de León,38.01454,-6.527808
Andalucía,Huelva,Cartaya,37.28314,-7.154979
Andalucía,Huelva,Castaño del Robledo,37.8951,-6.703943
Andalucía,Huelva,Cerro de Andévalo (El),37.73519,-6.938734
Andalucía,Huelva,Chucena,37.36157,-6.393946
Andalucía,Huelva,Corteconcepción,37.89585,-6.505878
Andalucía,Huelva,Cortegana,37.90937,-6.820616
Andalucía,Huelva,Cortelazor,37.93554,-6.624768
Andalucía,Huelva,Cumbres de Enmedio,38.07224,-6.692877
Andalucía,Huelva,Cumbres de San Bartolomé,38.07691,-6.743336
Andalucía,Huelva,Cumbres Mayores,38.0637,-6.647074
Andalucía,Huelva,Encinasola,38.13522,-6.872141
Andalucía,Huelva,Escacena del Campo,37.41033,-6.389561
Andalucía,Huelva,Fuenteheridos,37.90327,-6.660661
Andalucía,Huelva,Galaroza,37.92757,-6.709221
Andalucía,Huelva,Gibraleón,37.37495,-6.970141
Andalucía,Huelva,Granada de Río-Tinto (La),37.23156,-6.91823
Andalucía,Huelva,Granado (El),37.26469,-6.926992
Andalucía,Huelva,Higuera de la Sierra,37.83819,-6.447579
Andalucía,Huelva,Hinojales,38.00843,-6.589147
Andalucía,Huelva,Hinojos,37.29273,-6.376253
Andalucía,Huelva,Huelva,37.2571,-6.949555
Andalucía,Huelva,Isla Cristina,37.19943,-7.325246
Andalucía,Huelva,Jabugo,37.91671,-6.729078
Andalucía,Huelva,Lepe,37.25432,-7.203348
Andalucía,Huelva,Linares de la Sierra,37.88009,-6.621002
Andalucía,Huelva,Lucena del Puerto,37.30394,-6.730086
Andalucía,Huelva,Manzanilla,37.38773,-6.429422
Andalucía,Huelva,Marines (Los),37.90303,-6.62332
Andalucía,Huelva,Minas de Riotinto,37.69391,-6.591848
Andalucía,Huelva,Moguer,37.27469,-6.836591
Andalucía,Huelva,Nava (La),37.96342,-6.745746
Andalucía,Huelva,Nerva,37.69511,-6.550632
Andalucía,Huelva,Niebla,37.3601,-6.6792
Andalucía,Huelva,Palma del Condado (La),37.38784,-6.5534
Andalucía,Huelva,Palos de la Frontera,37.2282,-6.893426
Andalucía,Huelva,Paterna del Campo,37.42096,-6.401431
Andalucía,Huelva,Paymogo,37.74063,-7.345994
Andalucía,Huelva,Puebla de Guzmán,37.61144,-7.245831
Andalucía,Huelva,Puerto Moral,37.89208,-6.47877
Andalucía,Huelva,Punta Umbría,37.18248,-6.967148
Andalucía,Huelva,Rociana del Condado,37.30781,-6.598672
Andalucía,Huelva,Rosal de la Frontera,37.9678,-7.220527
Andalucía,Huelva,San Bartolomé de la Torre,37.44596,-7.106683
Andalucía,Huelva,San Juan del Puerto,37.31416,-6.840784
