ISSN,titulo, poblacion,comunidad_autonoma,comprende,año_inicio,año_final
2444-104X,Diari de Terrassa,Terrassa,Cataluña,De 1999 a 2007,1999,2007
2386-4869,Diario La Grada,La Grada,Cataluña,2/1/2017-,2017,2023
2254-5018,Diario curioso histórico erudito comercial civil y económico,Barcelona,Cataluña,Del 13/06/1772 al 31/01/1773,1772,1773
2254-5050,Diario de Barcelona,Barcelona,Cataluña,Del 16/03/1820 al 05/11/1822,1820,1822
2341-4162,Diario de Cataluña (Barcelona. 1852),Barcelona,Cataluña,Del 23/7/1852 al 25/4/1853,1852,1853
2341-4197,Diario de Cataluña (Barcelona. 1888),Barcelona,Cataluña,Del 26/9/1889 al 17/6/1891,1889,1891
2444-0655,Diario de Sabadell,Sabadell,Cataluña,Del 2/4/1977 al 26/5/1989,1977,1989
2660-0110,Diario de Villanueva y Geltrú,Villanueva y Geltrú,Cataluña,25/10/1910,1910,1910
2254-5115,Diario evangélico histórico-político,Barcelona,Cataluña,Del 01/06/1772 al 06/06/1772,1772,1772
1131-1045,Diario general de las ciencias médicas o Colección periódica de noticias y discursos relativos á la medicina y ciencias auxiliares,Barcelona,Cataluña,Del 07/1826 al 31/12/1832,1826,1832
2341-4081,Diario mercantil y económico de Cataluña,Barcelona,Cataluña,Del 15/1/1825 al 31/5/1825,1825,1825
2171-2786,Diario oficial de la Exposición Internacional de Barcelona 1929,Barcelona,Cataluña,N. 23 (17/8/1929) y n. 34 (26/10/1929),1929,1929
2660-6550,Dinamisme (Barcelona),Barcelona,Cataluña,Del 15/4/1937 al 12/1937. Del n. 1 al n. 9,1937,1937
2254-5352,La Dinastía (Barcelona),Barcelona,Cataluña,Del 14/10/1883 al 30/06/1904,1883,1904
2171-8261,Directorio madrileño,Barcelona,Cataluña,De 1904 a 1908,1904,1908
2341-4200,El Eco de Barcelona,Barcelona,Cataluña,Del 8/4/1883 al 31/7/1883,1883,1883
2387-0494,El Eco de la producción,Barcelona,Cataluña,Del n. 1 (4/1880) al n. 116 (20/3/1886),1880,1886
2340-3330,Economía & empresa,Barcelona,Cataluña,Del 23/3/2015 al 29/4/2015,2015,2015
2386-4710,El Economista.es (Ed. Cataluña),Barcelona,Cataluña,2014-2018,2014,2018
2172-5160,Enciclopedia musical,Barcelona,Cataluña,Del n. 1 (6/2/1884) al n. 24 (31/12/1885),1884,1885
1579-3656,Un Enemic del poble,Barcelona,Cataluña,3/1917. N. 1,1917,1917
1576-592X,La España musical (Barcelona),Barcelona,Cataluña,Del 04/01/1866 al 28/12/1867. Del n. 1 al n. 101,1866,1867
2254-8947,España sacro musical,Barcelona,Cataluña,Del n. 1 (15/1/1930) al n. 59 (15/12/1934),1930,1934
1578-7060,Esquitx (Barcelona),Barcelona,Cataluña,Del n. 2 (1931) al n. 286 (1936),1931,1936
2444-6858,L'Estevet (Barcelona),Barcelona,Cataluña,Del 26/8/1921 al 9/9/1923,1921,1923
2173-948X,La Evolución (Barcelona),Barcelona,Cataluña,Del 01/07/1911 al 01/06/1915. Del n. 1 al n. 12,1911,1915
1888-6531,El Fandango (Barcelona),Barcelona,Cataluña,Del 06/02/1891 al 13/11/1891,1891,1891
2171-5211,La Fiesta brava (Barcelona),Barcelona,Cataluña,Del 17/04/1926 al 17/07/1936. Del n. 1 al n. 465,1926,1936
2171-6188,La Fiesta nacional (Barcelona),Barcelona,Cataluña,Del 02/04/1904 al 28/12/1908,1904,1908
2172-590X,Fin de siglo (Barcelona),Barcelona,Cataluña,Del n. 3 (5/8/1891) al n. 4 (12/8/1891),1891,1891
2254-5751,La Flaca (Barcelona. 1872),Barcelona,Cataluña,Del 7/11/1872 al 4/10/1873. Del n. 38 al n. 84,1872,1873
2254-5700,La Flaca (Barcelona. 1869),Barcelona,Cataluña,Del 27/03/1869 al 03/09/1871,1869,1871
2341-4146,El Fomento (Barcelona),Barcelona,Cataluña,Del 2/1/1845 al 25/12/1849,1845,1849
1889-2205,Forma (Barcelona),Barcelona,Cataluña,Del 1904 al 1908. Del n. 1 al 26,1904,1908
2171-8253,La Fotografía (Barcelona. 1886),Barcelona,Cataluña,De 1886 a 1887,1886,1887
2173-0989,Frégoli (Barcelona),Barcelona,Cataluña,Del n. 1 (6/10/1898) al n. 12 (22/12/1898),1898,1898
2254-1810,Fuego (Barcelona. 1930),Barcelona,Cataluña,Del n. 18 (2/1932) al n. 27 (11/1934),1932,1934
2604-5729,Gaceta de Barcelona (1750),Barcelona,Cataluña,Del 8/9/1759 al 3/11/1802,1759,1802
1698-2266,La Gaceta de las artes gráficas del libro y de la industria del papel,Barcelona,Cataluña,Del 01/10/1923 al 01/09/1938,1923,1938
2485-3968,Gaceta musical (Barcelona),Barcelona,Cataluña,03/1930. N. 10,1930,1930
1887-3693,La Gaceta musical barcelonesa,Barcelona,Cataluña,Del 04/10/1863 al 03/12/1865,1863,1865
2486-434X,Gazeta de Cataluña,Barcelona,Cataluña,Del 31/10/1813 al 03/02/1814,1813,1814
2340-5775,Gente menuda (Barcelona),Barcelona,Cataluña,N. 104 (25/1/1930),1930,1930
2172-542X,Germania (Barcelona),Barcelona,Cataluña,Del n. 1 (1/3/1915) al n. 20 (15/12/1915),1915,1915
2171-0163,El Guardia nacional (Barcelona),Barcelona,Cataluña,Del 01/07/1836 al 28/10/1841,1836,1841
2171-5882,La Guasa (Barcelona),Barcelona,Cataluña,Del 01/09/1892 al 05/12/1892,1892,1892
2171-3073,La Guerra ilustrada,Barcelona,Cataluña,Del n. 1 al n. 166,1915,1920
2695-4850,Guía oficial del servicio diario de la Administración Principal de Correos de Barcelona,Barcelona,Cataluña,04/1897,1897,1897
2660-2326,Heraldo nacional,Barcelona,Cataluña,21/3/1911,1911,1911
2173-3287,El Heraldo Rosacruz,Barcelona,Cataluña,Del 07/1934 al 07/1935,1934,1935
1131-9259,Hojas selectas,Barcelona,Cataluña,Del 01/1902 al 12/1921. Del n. 25 al n. 240,1902,1921
0214-3895,¡Hola! (Barcelona),Barcelona,Cataluña,Del 02/09/1944 al 30/12/2009,1944,2009
2605-2423,¡Hola! (Barcelona). Figurín de la moda,Barcelona,Cataluña,Del 21/9/1968 al 24/09/1983,1968,1983
2171-7591,La Hormiga de oro,Barcelona,Cataluña,Del 01/01/1884 al 16/07/1936,1884,1936
2660-096X,Igualada radical,Barcelona,Cataluña,17/9/1911,1911,1911
1889-9951,La Ilustració catalana,Barcelona,Cataluña,Del 10/07/1880 al 30/12/1917. Del n. 1 al n. 759,1880,1917
1885-5326,La Ilustración (Barcelona),Barcelona,Cataluña,Del 07/11/1880 al 28/12/1890,1880,1890
1889-853X,Ilustración artística,Barcelona,Cataluña,Del 01/01/1882 al 25/12/1916,1882,1916
1885-575X,La Ilustración hispano-americana,Barcelona,Cataluña,Del 4/1/1891 al 31/12/1891,1891,1891
1695-937X,La Ilustración ibérica (Barcelona. 1883),Barcelona,Cataluña,Del 06/01/1883 al 31/12/1898,1883,1898
1889-6561,La Ilustración ibero-americana,Barcelona,Cataluña,Del 12/1929 a 1930. Del n. 1 al n. 5,1929,1930
2253-7031,La Ilustración moderna (Barcelona),Barcelona,Cataluña,De 1892 a 1894,1892,1894
1887-3723,Ilustración musical hispano-americana,Barcelona,Cataluña,Del n. 1 (30/1/1888) al n. 191 (30/12/1895),1888,1895
2171-5327,La Ilustración musical,Barcelona,Cataluña,Del 07/04/1883 al 29/03/1884. Del n. 1 al n. 52,1883,1884
2172-6205,La Ilustración obrera,Barcelona,Cataluña,Del n. 1 (20/2/1904) al n. 44 (17/12/1904),1904,1904
2341-4138,El Imparcial (Barcelona),Barcelona,Cataluña,Del 2/9/1842 al 31/12/1844,1842,1844
2444-0566,La Independencia (Barcelona),Barcelona,Cataluña,Del 2/2/1871 al 31/3/1873,1871,1873
2171-9179,Industria e invenciones,Barcelona,Cataluña,Del 05/01/1884 al 26/06/1915. Del n. 1 al n. 156,1884,1915
2173-3260,Indústria tèxtil (Barcelona),Barcelona,Cataluña,Del 05/1931 al 02/1936,1931,1936
2340-5406,La Infancia (Barcelona. 1867),Barcelona,Cataluña,Del 6/7/1867 al 24/12/1868,1867,1868
2171-0066,El Inocentón,Barcelona,Cataluña,Del 23/12/1856 al 03/07/1857. Del n. 1 al n. 24,1856,1857
2341-4618,L'Instant (Barcelona. 1935),Barcelona,Cataluña,Del 1/1/1935 al 30/9/1936,1935,1936
2173-4992,La Instrucción pública,Barcelona,Cataluña,Del 10/01/1902 al 25/06/1902,1902,1902
2341-4367,La Internacional (Barcelona),Barcelona,Cataluña,Del 6/11/1908 al 23/7/1909,1908,1909
2340-7379,Interviú (Barcelona),Barcelona,Cataluña,Del 22/05/1976 al 28/12/2009,1976,2009
1889-9021,Iris (Barcelona. 1899),Barcelona,Cataluña,Del 1899 al 31/12/1904. Del n. 1 al n. 295,1899,1904
1695-3312,Joia (Badalona),Barcelona,Cataluña,Del 3/1928 a 10/1928,1928,1928
2171-0317,La Jornada deportiva (Barcelona),Barcelona,Cataluña,Del 24/07/1922 al 24/02/1925,1922,1925
2171-0171,Juventud ilustrada,Barcelona,Cataluña,Del 02/12/1905 al 15/12/1906,1905,1906
0047-4304,Lecturas (Barcelona),Barcelona,Cataluña,Del 5/10/2005 al 28/11/2007,2005,2007
2341-4626,La Ley (Barcelona. 1842),Barcelona,Cataluña,Del 1/4/1842 al 6/9/1842,1842,1842
2171-0554,El Lloyd español,Barcelona,Cataluña,Del 02/09/1861 al 12/02/1868,1861,1868
2341-4634,El Locomotor (Barcelona),Barcelona,Cataluña,Del 16/3/1849 al 28/12/1849,1849,1849
2173-4690,Lumen (Tarrasa),Barcelona,Cataluña,Del 12/1923 al 04/1926,1923,1926
2173-2736,La Luz (Barcelona. 1861),Barcelona,Cataluña,Del 11/1861 al 28/12/1862. Del n. 1 al  n. 61,1861,1862
2172-0258,La Luz del porvenir (1911),Barcelona,Cataluña,Del 01/1925 al 12/1934. Del n. 145 al n. 435,1925,1934
2172-024X,La Luz del porvenir (1879),Barcelona,Cataluña,Del 29/05/1884 al 17/05/1888. Del n. 1 al n. 52,1884,1888
2171-2638,Luz y unión,Barcelona,Cataluña,Del 10/05/1900 al 12/1910,1900,1910
2172-0266,Luz unión y verdad,Barcelona,Cataluña,Del 10/1916 al 03/1919,1916,1919
2385-5266,MG magazine,Barcelona,Cataluña,2016-,2016,2023
2173-9420,Macrocosmo (Barcelona),Barcelona,Cataluña,Del 07/1933 al 06/1935. Del n. 1 al n. 24,1933,1935
2254-576X,La Madeja política,Barcelona,Cataluña,Del 1/11/1873 al 2/1/1875,1873,1875
2696-3779,Magazine lifestyle (Ed. en castellano),Barcelona,Cataluña,13/9/2020-,2020,2023
2696-4945,Magazine lifestyle (Ed. en català),Barcelona,Cataluña,13/9/2020-,2020,2023
2171-0724,Mar y tierra (Barcelona. 1900),Barcelona,Cataluña,Del 03/02/1900 al 16/03/1901,1900,1901
2172-2536,Las Maravillas y progresos del siglo,Barcelona,Cataluña,Del n. 1 (1/7/1876) al n. 12 (9/10/1876),1876,1876
2605-4639,La Mariposa (Barcelona),Barcelona,Cataluña,20/1/1922 n.º 32 ,1922,1922
2487-4639,Mataró (Mataró. 1940),Barcelona,Cataluña,Del 15/1/1942 al 31/3/1977,1942,1977
2254-1675,Mediterráneo (Barcelona. 1926),Barcelona,Cataluña,Del n. 72 (14/4/1928) al n. 90 (18/8/1928),1928,1928
2172-2692,Mercurio (Barcelona),Barcelona,Cataluña,Del 03/12/1901 al 30/03/1916,1901,1916
2171-3170,Mi revista (Barcelona. 1936),Barcelona,Cataluña,Del 15/10/1936 al 01/12/1938,1936,1938
2171-6137,Mi revista (Barcelona. 1911),Barcelona,Cataluña,Del n. 1 (4/1911) al n. 130 (15/1/1921),1911,1921
2173-1381,Modelos (Barcelona),Barcelona,Cataluña,Del n. 1 (4/1929) al n. 9 (12/1929),1929,1929
2171-0864,The Monigoty (Barcelona),Barcelona,Cataluña,Del 02/09/1897 al 09/12/1897,1897,1897
2171-1135,El Monitor de primera enseñanza,Barcelona,Cataluña,Del 02/01/1864 al 15/10/1864,1864,1864
2171-5912,La Mosca blanca,Barcelona,Cataluña,Del n. 1 (19/11/1891) al n. 21 (25/5/1892),1891,1892
2171-5416,El Mundo ilustrado (Barcelona),Barcelona,Cataluña,Del 1879 al 1883. Del n. 1 al n. 200,1879,1883
2172-5381,El Mundo artístico,Barcelona,Cataluña,Del n. 21 (16/2/1901) al n. 64 (4/1/1902),1901,1902
2173-1004,El Mundo artístico y monumental,Barcelona,Cataluña,Del n. 1 al n. 79 (1920),1920,1920
2172-1092,El Mundo científico (Barcelona. 1899),Barcelona,Cataluña,Del n. 1 (20/5/1899) al n. 588 (8/7/1911),1899,1911
2171-9934,El Mundo de las aventuras,Barcelona,Cataluña,Del 10/1892 al 3/1896,1892,1896
1138-137X,El Mundo del siglo veintiuno de Catalunya,Barcelona,Cataluña,17/12/2016-,2016,2023
2014-5373,Mundo deportivo (Barcelona. Ed. Atlético de Madrid),Barcelona,Cataluña,2016-,2016,2023
2445-1193,Mundo deportivo (Barcelona. Ed. Bizkaia-Araba),Barcelona,Cataluña,2016-,2016,2023
2445-1207,Mundo deportivo (Barcelona. Ed. Gipuzkoa),Barcelona,Cataluña,2016-,2016,2023
2445-1207,Mundo deportivo (Barcelona. Ed. Gipuzkoa),Barcelona,Cataluña,1906-2008,1906,2008
2014-0584,El Mundo deportivo (Barcelona. Ed. impresa),Barcelona,Cataluña,2016-,2016,2023
1886-7030,El Mundo en auto,Barcelona,Cataluña,Del 5/1925 al 10/1925. Del n. 14 al 18,1925,1925
1578-6536,El Museo de familias (Barcelona),Barcelona,Cataluña,Del 1838 al 1841. Del n. 1 al n. 5,1838,1841
2172-3494,Música (Barcelona. 1929),Barcelona,Cataluña,Del 9/1929 al 1/1931,1929,1931
2172-5977,Música (Barcelona. 1938),Barcelona,Cataluña,Del n. 3 (3/1938) al n. 5 (6/1938),1938,1938
2172-5225,La Música ilustrada hispano-americana,Barcelona,Cataluña,Del n. 1 (25/12/1898) al n. 65 (5/1902),1898,1902
2172-5993,Musical-Hermes,Barcelona,Cataluña,Del n. 1 (1/1928) al n. 24 (6/1930),1928,1930
1887-9411,Navegación (Barcelona),Barcelona,Cataluña,Del 25/11/1918 al 9/1921,1918,1921
2173-5603,Los Niños (Barcelona),Barcelona,Cataluña,Del 01/01/1883 al 11/12/1886,1883,1886
2340-5783,Las Noticias (Barcelona),Barcelona,Cataluña,Del 19/2/1898 al 31/12/1902,1898,1902
2171-9837,Nuestro ejército (Barcelona),Barcelona,Cataluña,n. 1 (4/1938),1938,1938
2173-9455,Nueva era (Barcelona. 1912),Barcelona,Cataluña,11/1914. N. 4,1914,1914
1579-7562,El Nuevo Mercurio,Barcelona,Cataluña,Del 01/1907 al 12/1907. Del n. 1 al n. 12,1907,1907
2531-0194,On Barcelona,Barcelona,Cataluña,24/3/2017-,2017,2023
2531-0208,On Barcelona (Ed. en català),Barcelona,Cataluña,24/3/2017-,2017,2023
1576-3765,El País (Ed. de Barcelona. Ed. impresa),Barcelona,Cataluña,2014-,2014,2023
1133-2093,Papyrus (Barcelona),Barcelona,Cataluña,Del n. 1 al n. 2. 1936,1936,1936
2171-519X,París alegre,Barcelona,Cataluña,Del 15/04/1901 al 16/12/1902,1901,1902
2173-4984,Le Pêle-Mêle,Barcelona,Cataluña,Del 28/06/1903 al 26/06/1904,1903,1904
1138-610X,El Periódico de Catalunya (Diari. Ed. en català. Ed. impresa),Barcelona,Cataluña,Del 28/10/1997 al 31/12/2003,1997,2003
1138-610X,El Periódico de Catalunya (Diari. Ed. en català. Ed. impresa),Barcelona,Cataluña,2/1/2017-,2017,2023
1138-6096,El Periódico de Catalunya (Diario. Ed. en castellano. Ed. impresa),Barcelona,Cataluña,Del 26/10/1978 al 31/12/2009,1978,2009
1138-6096,El Periódico de Catalunya (Diario. Ed. en castellano. Ed. impresa),Barcelona,Cataluña,2/1/2017-,2017,2023
2660-1222,La Picota (Sabadell),Sabadell,Cataluña,2/9/1911,1911,1911
1699-0722,Pluma y lápiz (Barcelona. 1900),Barcelona,Cataluña,Del 1900 al 30/12/1905. Del n. 1 al n. 270,1900,1905
2340-5465,Pocholo (Barcelona),Barcelona,Cataluña,1931-1932,1931,1932
1888-0088,Popular film,Barcelona,Cataluña,Del 05/08/1926 al 19/07/1934,1926,1934
2171-4088,El Popular (Barcelona),Barcelona,Cataluña,Del 01/04/1841 al 19/01/1842,1841,1842
2171-5815,La Porra (Barcelona),Barcelona,Cataluña,Del 23/6/1881 al 30/12/1881. Del n.1 al n. 28,1881,1881
2340-0919,El Presente (Barcelona),Barcelona,Cataluña,Del 28/10/1852 al 29/6/1854,1852,1854
2171-0953,Prisma (Barcelona. 1922),Barcelona,Cataluña,Del 01/1922 al 08/1922,1922,1922
0212-8861,Proa (Barcelona),Barcelona,Cataluña,1/1921,1921,1921
2172-5438,Pum (Barcelona),Barcelona,Cataluña,Del n. 14 (4/1915) al n. 31 (12/1915),1915,1915
2445-0960,Què fem?,Barcelona,Cataluña,2016-,2016,2023
2172-2102,La Razón (Ed. Cataluña),Barcelona,Cataluña,2014-,2014,2023
2660-2156,La Rebeldía (Barcelona),Barcelona,Cataluña,2/3/1907,1907,1907
1137-5647,Regió 7 (Ed. Igualada),Igualada,Cataluña,Del 11/3/1995 al 30/4/2001,1995,2001
1137-5655,Regió 7 (Ed. Manresa),Manresa,Cataluña,Del 30/12/1978 al 30/4/2001,1978,2001
2171-4142,La Renaixensa (Barcelona. 1881),Barcelona,Cataluña,Del 12/11/1882 al 31/12/1897,1882,1897
2444-8346,Reportajes (Barcelona),Barcelona,Cataluña,1935. Del n. 1 al n. 2,1935,1935
1887-7265,La República (Badalona),Barcelona,Cataluña,Del n. 1 (11/2/1891) al n. 21 (5/9/1891),1891,1891
2172-5969,Revista (Orfeó Gracienc),Barcelona,Cataluña,Del n. 127 (4/1930) al n. 184 (5/1936),1930,1936
2171-1070,Revista barcelonesa,Barcelona,Cataluña,Del 02/08/1846 al 25/07/1847. Del n. 1 al n. 27,1846,1847
2173-996X,Revista católica (Barcelona),Barcelona,Cataluña,Del 07/1842 al 10/1868,1842,1868
2173-2760,Revista de agricultura industria & comercio,Barcelona,Cataluña,09/1934,1934,1934
1131-2874,Revista de ciencias médicas de Barcelona,Barcelona,Cataluña,Del 10/01/1899 al 01/12/1913,1899,1913
2171-4320,Revista de estudios psicológicos,Barcelona,Cataluña,Del 01/1876 al 12/1878,1876,1878
2695-6071,Revista de la sombrerería,Barcelona,Cataluña,Del 1/1913 al 12/1915,1913,1915
1698-1138,Revista de locomoción aérea,Barcelona,Cataluña,Del 15/6/1909 al 25/12/1910,1909,1910
1886-7049,Revista de oro,Barcelona,Cataluña,Del 03/1926 al 07/1927. Del n. 20 al n. 35,1926,1927
1578-3707,Revista de psicología i pedagogia,Barcelona,Cataluña,Del 2/1933 al 11/1936,1933,1936
2171-4339,Revista espiritista,Barcelona,Cataluña,Del 05/1869 al 12/1875,1869,1875
0214-3305,Revista frenopática española,Barcelona,Cataluña,Del 01/1904 al 12/1912,1904,1912
1698-2126,Revista ibérica de exlibris,Barcelona,Cataluña,Del 1903 al 1906. Del n. 1 al n. 4,1903,1906
0213-2621,Revista montserratina,Barcelona,Cataluña,Del 01/1907 al 12/1917. Del n. 1 al n. 132,1907,1917
2480-6978,Revista mundial (Barcelona),Barcelona,Cataluña,Del 01/1909 al 09/1909,1909,1909
2253-7074,Revista universal de magnetismo experimental y terapéutico,Barcelona,Cataluña,N. 16 (4/1895),1895,1895
2171-9683,La Révolution espagnole (Barcelona),Barcelona,Cataluña,Del n. 1 (3/9/1936) al n. 8 (28/10/1936),1936,1936
2480-4304,Ritmo y melodía,Barcelona,Cataluña,Del 12/1944 al 11/1950,1944,1950
2171-9691,La Rivoluzione spagnola,Barcelona,Cataluña,Del n. 1 (1/3/1937) al n. 4 (1/5/1937),1937,1937
2340-5481,La Rondalla del Dijous,Barcelona,Cataluña,Del n. 1 al n. 26 (1909),1909,1909
2444-0663,Sabadell (Sabadell),Barcelona,Cataluña,Del 3/1/1942 al 1/4/1977,1942,1977
2171-5424,La Semana (Barcelona),Barcelona,Cataluña,1857. Del n. 1 al n. 48,1857,1857
1889-495X,La Semana cómica,Barcelona,Cataluña,Del 06/01/1888 al 02/08/1894,1888,1894
0214-5383,La Semana popular ilustrada,Barcelona,Cataluña,Del 31/7/1890 al 26/5/1892,1890,1892
2335-6383,Semanario curioso erudito comercial y económico,Barcelona,Cataluña,De 1776 a 1777,1776,1777
2444-6769,Semanario familiar pintoresco,Barcelona,Cataluña,Del n. 1 al n. 156,1836,1857
1885-2645,Sicalíptico (Barcelona),Barcelona,Cataluña,Del 09/01/1904 al 31/12/1904,1904,1904
2341-4154,El Sol (Barcelona),Barcelona,Cataluña,Del 27/12/1849 al 21/7/1852,1849,1852
2171-3146,El Sol de Meissen,Barcelona,Cataluña,Del 04/1929 al 05/1936,1929,1936
1887-8660,Solidaridad obrera (Barcelona),Barcelona,Cataluña,Del 12/05/1931 al 08/1947,1931,1947
2341-5185,Sport (Barcelona),Barcelona,Cataluña,De 1999 a 2009; 2017-,1999,2009
2341-5185,Sport (Barcelona),Barcelona,Cataluña,De 1999 a 2009; 2017-,2017,2023
2172-5454,El Tango de moda,Barcelona,Cataluña,8/2/1930,1930,1930
1578-7400,Teletodo (Barcelona),Barcelona,Cataluña,7/1/2017-,2017,2023
2172-5640,Tierra y libertad. Suplemento,Barcelona,Cataluña,Del n. 11 (6/1933) al n. 18 (3/1934),1933,1934
1576-3730,La Tomasa (Barcelona),Barcelona,Cataluña,Del 20/02/1891 al 29/12/1894,1891,1894
2387-1652,La Tralla del carreter,Barcelona,Cataluña,Del 25/12/1903 al 24/6/1904,1903,1904
2172-976X,La Tramontana (Barcelona. 1881),Barcelona,Cataluña,n. 221 (11/9/1885),1885,1885
2171-6331,El Universo ilustrado (Barcelona. 1886),Barcelona,Cataluña,Del 07/10/1886 al 29/09/1887,1886,1887
1133-4940,La Vanguardia (Barcelona. 1978),Barcelona,Cataluña,De 2000 a 2008; 2016-,2000,2008
1133-4940,La Vanguardia (Barcelona. 1978),Barcelona,Cataluña,De 2000 a 2008; 2016-,2016,2023
1579-3370,Vanguardia dossier,Barcelona,Cataluña,De 4/2002 al 6/2008. Del n. 1 al 27,2002,2008
2014-1718,La Vanguardia.cat,Barcelona,Cataluña,2016-,2016,2023
2171-133X,La Veu del Montserrat,Barcelona,Cataluña,Del 13/01/1883 al 11/12/1886. Del n. 1 al n. 52,1883,1886
1885-0952,El Viagero ilustrado hispano-americano,Barcelona,Cataluña,Del 01/01/1879 al 30/12/1880,1879,1880
1889-8831,Vida galante,Barcelona,Cataluña,Del 06/11/1898 al 29/12/1905,1898,1905
1889-7711,Vida nacional,Barcelona,Cataluña,Del n. 1 (6/1926) al n. 2/3 (8/1926),1926,1926
2172-0681,Vida social femenina,Barcelona,Cataluña,Del 31/1/1934 al 03/1937,1934,1937
2340-0064,Visions de guerra i de reraguarda. Serie A Retrospectiva,Barcelona,Cataluña,Del n. 1 (24/4/1937) al n. 8 (9/10/1937),1937,1937
2340-0072,Visions de guerra i de reraguarda. Serie B Actualitats,Barcelona,Cataluña,Del n. 1 (17/4/1937) al n. 20 (2/4/1938),1937,1938
2173-2809,El Volapié (Barcelona),Barcelona,Cataluña,01/07/1900. N. 1,1900,1900
2171-9527,Il Volontario della libertá,Barcelona,Cataluña,Del n. 65 (17/3/1938) al n. 91 (7/9/1938),1938,1938
2171-9500,El Voluntario de la libertad (Deutsche Ausg.),Barcelona,Cataluña,n. 79 (16/6/1938) y n. 82 (19/7/1938),1938,1938
2171-9519,El Voluntario de la libertad (Ed. checoslovaco-yugoslava),Barcelona,Cataluña,n. 1 (7 feb. 1938),1938,1938
2660-6658,La Voz del soldado,Barcelona,Cataluña,Del 5/8/1938 al 5/1/1939. Del n. 6 al n. 20,1938,1939
9957-3199,Monterrey (Río de Janeiro),Río de Janeiro,Brasil,Del 1930 al 1936. Del n. 3 al n. 13,1930,1936
2387-0362,El Caballero de la triste figura,Burgos,Castilla y León,Del n. 1 (1/3/1868) al n. 14 (31/5/1868),1868,1868
2173-9781,Castilla industrial y agrícola,Burgos,Castilla y León,Del 1/1933 al 30/11/1934. Del n. 1 al n. 23,1933,1934
1696-3598,El Correo de Miranda de Ebro,Miranda de Ebro,Castilla y León,2014-,2014,2023
1576-5261,Diario de Burgos,Burgos,Castilla y León,De 1999 a 2009. 2014-,1999,2009
1576-5261,Diario de Burgos,Burgos,Castilla y León,De 1999 a 2009. 2014-,2014,2023
