Année,Origine sociale,Nombre de personnes admises,Proportion de personnes admises,Type de baccalauréat
2009,Autres personnes sans activité professionnelle,12175,73.40085609212034,baccalauréat technologique
2010,Autres personnes sans activité professionnelle,12648,74.8978504174809,baccalauréat technologique
2011,Autres personnes sans activité professionnelle,12518,75.4005541501024,baccalauréat technologique
2012,Autres personnes sans activité professionnelle,12743,76.20044250433534,baccalauréat technologique
2013,Autres personnes sans activité professionnelle,13162,80.20230333313022,baccalauréat technologique
2014,Autres personnes sans activité professionnelle,14298,85.80172827652424,baccalauréat technologique
2015,Autres personnes sans activité professionnelle,13987,85.40114788130418,baccalauréat technologique
2016,Autres personnes sans activité professionnelle,14726,85.20018514232817,baccalauréat technologique
2017,Autres personnes sans activité professionnelle,15196,85.19847499439337,baccalauréat technologique
2018,Autres personnes sans activité professionnelle,16404,83.2986340323973,baccalauréat technologique
2019,Autres personnes sans activité professionnelle,18736,82.7013904215405,baccalauréat technologique
2020,Autres personnes sans activité professionnelle,25792,91.79954441913439,baccalauréat technologique
2021,Autres personnes sans activité professionnelle,13263,87.79954984774263,baccalauréat technologique
2022,Autres personnes sans activité professionnelle,13818,83.10079384171277,baccalauréat technologique
2023,Autres personnes sans activité professionnelle,14592,82.0005619556055,baccalauréat technologique
2024,Autres personnes sans activité professionnelle,14786,82.89975330791657,baccalauréat technologique
1997,"Cadres, professions intellectuelles supérieures",21858,81.38963360142985,baccalauréat technologique
1998,"Cadres, professions intellectuelles supérieures",23183,82.63116623895067,baccalauréat technologique
1999,"Cadres, professions intellectuelles supérieures",24647,81.60988046753418,baccalauréat technologique
2000,"Cadres, professions intellectuelles supérieures",24827,81.69194827416011,baccalauréat technologique
2001,"Cadres, professions intellectuelles supérieures",23884,80.88046054859466,baccalauréat technologique
2002,"Cadres, professions intellectuelles supérieures",22398,80.14455934447346,baccalauréat technologique
2003,"Cadres, professions intellectuelles supérieures",22530,80.5534699131181,baccalauréat technologique
2004,"Cadres, professions intellectuelles supérieures",22436,81.54097764855533,baccalauréat technologique
2005,"Cadres, professions intellectuelles supérieures",22507,80.98956459157971,baccalauréat technologique
2006,"Cadres, professions intellectuelles supérieures",22740,81.34210902847332,baccalauréat technologique
2007,"Cadres, professions intellectuelles supérieures",22265,84.44908021998862,baccalauréat technologique
2008,"Cadres, professions intellectuelles supérieures",21931,85.29148679656205,baccalauréat technologique
2009,"Cadres, professions intellectuelles supérieures",21552,85.08152066637717,baccalauréat technologique
2010,"Cadres, professions intellectuelles supérieures",21514,86.40160642570281,baccalauréat technologique
2011,"Cadres, professions intellectuelles supérieures",20993,86.83045870041775,baccalauréat technologique
2012,"Cadres, professions intellectuelles supérieures",20617,88.38256098083765,baccalauréat technologique
2013,"Cadres, professions intellectuelles supérieures",20897,90.89208820842939,baccalauréat technologique
2014,"Cadres, professions intellectuelles supérieures",21536,94.0190343141535,baccalauréat technologique
2015,"Cadres, professions intellectuelles supérieures",21868,93.82186373777243,baccalauréat technologique
2016,"Cadres, professions intellectuelles supérieures",21946,93.78231699500022,baccalauréat technologique
2017,"Cadres, professions intellectuelles supérieures",22355,93.53165139533911,baccalauréat technologique
2018,"Cadres, professions intellectuelles supérieures",24164,92.69958184677945,baccalauréat technologique
2019,"Cadres, professions intellectuelles supérieures",23503,92.32068504988608,baccalauréat technologique
2020,"Cadres, professions intellectuelles supérieures",23175,96.92191878215047,baccalauréat technologique
2021,"Cadres, professions intellectuelles supérieures",23096,96.76959818996941,baccalauréat technologique
2022,"Cadres, professions intellectuelles supérieures",22421,94.20192428889543,baccalauréat technologique
2023,"Cadres, professions intellectuelles supérieures",23124,93.93890152746181,baccalauréat technologique
2024,"Cadres, professions intellectuelles supérieures",25299,94.67834287638935,baccalauréat technologique
1997,Employés,23852,78.40120961114945,baccalauréat technologique
1998,Employés,26097,80.30093233637957,baccalauréat technologique
